E0219 12:35:41.813947 1144781 buffer_comparator.cc:145] Difference at 4121: 0, expected 0.681785
2026-02-19 12:35:41.869566: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:42.440249 1144781 buffer_comparator.cc:145] Difference at 4112: 0, expected 0.706217
E0219 12:35:42.440333 1144781 buffer_comparator.cc:145] Difference at 4113: 0, expected 1.54924
E0219 12:35:42.440342 1144781 buffer_comparator.cc:145] Difference at 4114: 0, expected 1.24661
E0219 12:35:42.440348 1144781 buffer_comparator.cc:145] Difference at 4115: 0, expected 1.41338
E0219 12:35:42.440355 1144781 buffer_comparator.cc:145] Difference at 4116: 0, expected 1.02787
E0219 12:35:42.440361 1144781 buffer_comparator.cc:145] Difference at 4117: 0, expected 1.28219
E0219 12:35:42.440366 1144781 buffer_comparator.cc:145] Difference at 4118: 0, expected 1.00582
E0219 12:35:42.440372 1144781 buffer_comparator.cc:145] Difference at 4119: 0, expected 1.54663
E0219 12:35:42.440378 1144781 buffer_comparator.cc:145] Difference at 4120: 0, expected 1.38348
E0219 12:35:42.440384 1144781 buffer_comparator.cc:145] Difference at 4121: 0, expected 0.681785
2026-02-19 12:35:42.495856: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:43.021737 1144781 buffer_comparator.cc:145] Difference at 4112: 0, expected 0.706217
E0219 12:35:43.021798 1144781 buffer_comparator.cc:145] Difference at 4113: 0, expected 1.54924
E0219 12:35:43.021804 1144781 buffer_comparator.cc:145] Difference at 4114: 0, expected 1.24661
E0219 12:35:43.021809 1144781 buffer_comparator.cc:145] Difference at 4115: 0, expected 1.41338
E0219 12:35:43.021814 1144781 buffer_comparator.cc:145] Difference at 4116: 0, expected 1.02787
E0219 12:35:43.021819 1144781 buffer_comparator.cc:145] Difference at 4117: 0, expected 1.28219
E0219 12:35:43.021824 1144781 buffer_comparator.cc:145] Difference at 4118: 0, expected 1.00582
E0219 12:35:43.021829 1144781 buffer_comparator.cc:145] Difference at 4119: 0, expected 1.54663
E0219 12:35:43.021834 1144781 buffer_comparator.cc:145] Difference at 4120: 0, expected 1.38348
